CRM.65-STE Airfoil Section

      NPTS
       129

        XU        YU        XL        YL
   0.00000   0.00000   0.00000   0.00000
   0.00014   0.00182   0.00014  -0.00155
   0.00054   0.00366   0.00054  -0.00306
   0.00122   0.00546   0.00122  -0.00457
   0.00216   0.00724   0.00216  -0.00605
   0.00338   0.00902   0.00338  -0.00749
   0.00487   0.01077   0.00487  -0.00893
   0.00662   0.01248   0.00662  -0.01032
   0.00864   0.01417   0.00864  -0.01168
   0.01092   0.01584   0.01092  -0.01302
   0.01348   0.01745   0.01348  -0.01431
   0.01629   0.01905   0.01629  -0.01558
   0.01937   0.02061   0.01937  -0.01681
   0.02270   0.02213   0.02270  -0.01801
   0.02630   0.02363   0.02630  -0.01919
   0.03015   0.02509   0.03015  -0.02034
   0.03426   0.02651   0.03426  -0.02146
   0.03861   0.02792   0.03861  -0.02257
   0.04322   0.02929   0.04322  -0.02365
   0.04808   0.03065   0.04808  -0.02473
   0.05318   0.03198   0.05318  -0.02577
   0.05852   0.03329   0.05852  -0.02682
   0.06411   0.03457   0.06411  -0.02785
   0.06992   0.03584   0.06992  -0.02886
   0.07598   0.03708   0.07598  -0.02986
   0.08226   0.03832   0.08226  -0.03086
   0.08877   0.03951   0.08877  -0.03183
   0.09550   0.04071   0.09550  -0.03281
   0.10245   0.04187   0.10245  -0.03376
   0.10961   0.04302   0.10961  -0.03470
   0.11699   0.04415   0.11699  -0.03562
   0.12458   0.04525   0.12458  -0.03654
   0.13237   0.04634   0.13237  -0.03743
   0.14036   0.04739   0.14036  -0.03829
   0.14854   0.04844   0.14854  -0.03913
   0.15692   0.04945   0.15692  -0.03996
   0.16548   0.05045   0.16548  -0.04077
   0.17422   0.05140   0.17422  -0.04154
   0.18314   0.05235   0.18314  -0.04229
   0.19223   0.05327   0.19223  -0.04301
   0.20149   0.05416   0.20149  -0.04371
   0.21092   0.05503   0.21092  -0.04437
   0.22050   0.05587   0.22050  -0.04500
   0.23023   0.05667   0.23023  -0.04560
   0.24011   0.05746   0.24011  -0.04616
   0.25013   0.05820   0.25013  -0.04667
   0.26029   0.05893   0.26029  -0.04716
   0.27058   0.05962   0.27058  -0.04760
   0.28099   0.06028   0.28099  -0.04800
   0.29152   0.06089   0.29152  -0.04835
   0.30217   0.06146   0.30217  -0.04864
   0.31293   0.06201   0.31293  -0.04890
   0.32378   0.06251   0.32378  -0.04910
   0.33474   0.06297   0.33474  -0.04925
   0.34579   0.06338   0.34579  -0.04934
   0.35692   0.06375   0.35692  -0.04938
   0.36813   0.06409   0.36813  -0.04936
   0.37941   0.06437   0.37941  -0.04927
   0.39076   0.06461   0.39076  -0.04914
   0.40217   0.06481   0.40217  -0.04894
   0.41363   0.06496   0.41363  -0.04867
   0.42515   0.06506   0.42515  -0.04835
   0.43670   0.06513   0.43670  -0.04797
   0.44829   0.06514   0.44829  -0.04752
   0.45992   0.06512   0.45992  -0.04699
   0.47156   0.06506   0.47156  -0.04641
   0.48322   0.06494   0.48322  -0.04576
   0.49490   0.06479   0.49490  -0.04505
   0.50658   0.06459   0.50658  -0.04427
   0.51825   0.06435   0.51825  -0.04342
   0.52992   0.06407   0.52992  -0.04250
   0.54158   0.06372   0.54158  -0.04152
   0.55321   0.06336   0.55321  -0.04047
   0.56482   0.06294   0.56482  -0.03935
   0.57639   0.06247   0.57639  -0.03816
   0.58793   0.06195   0.58793  -0.03692
   0.59942   0.06138   0.59942  -0.03561
   0.61086   0.06076   0.61086  -0.03424
   0.62224   0.06008   0.62224  -0.03280
   0.63356   0.05936   0.63356  -0.03132
   0.64481   0.05858   0.64481  -0.02979
   0.65599   0.05775   0.65599  -0.02821
   0.66708   0.05685   0.66708  -0.02660
   0.67808   0.05590   0.67808  -0.02494
   0.68899   0.05489   0.68899  -0.02327
   0.69980   0.05383   0.69980  -0.02156
   0.71051   0.05272   0.71051  -0.01984
   0.72110   0.05155   0.72110  -0.01811
   0.73158   0.05034   0.73158  -0.01639
   0.74194   0.04909   0.74194  -0.01466
   0.75216   0.04779   0.75216  -0.01296
   0.76226   0.04646   0.76226  -0.01127
   0.77221   0.04510   0.77221  -0.00960
   0.78202   0.04372   0.78202  -0.00797
   0.79168   0.04232   0.79168  -0.00638
   0.80119   0.04092   0.80119  -0.00484
   0.81054   0.03951   0.81054  -0.00335
   0.81972   0.03809   0.81972  -0.00191
   0.82873   0.03669   0.82873  -0.00055
   0.83757   0.03531   0.83757   0.00076
   0.84623   0.03393   0.84623   0.00198
   0.85470   0.03259   0.85470   0.00312
   0.86299   0.03127   0.86299   0.00419
   0.87108   0.02998   0.87108   0.00515
   0.87898   0.02872   0.87898   0.00603
   0.88667   0.02748   0.88667   0.00680
   0.89416   0.02627   0.89416   0.00748
   0.90144   0.02507   0.90144   0.00804
   0.90850   0.02389   0.90850   0.00849
   0.91535   0.02273   0.91535   0.00885
   0.92198   0.02157   0.92198   0.00909
   0.92838   0.02041   0.92838   0.00922
   0.93455   0.01924   0.93455   0.00925
   0.94050   0.01807   0.94050   0.00918
   0.94621   0.01688   0.94621   0.00901
   0.95168   0.01568   0.95168   0.00875
   0.95690   0.01449   0.95690   0.00840
   0.96189   0.01327   0.96189   0.00797
   0.96663   0.01204   0.96663   0.00747
   0.97112   0.01081   0.97112   0.00690
   0.97536   0.00956   0.97536   0.00628
   0.97935   0.00834   0.97935   0.00560
   0.98308   0.00711   0.98308   0.00489
   0.98655   0.00590   0.98655   0.00413
   0.98977   0.00469   0.98977   0.00334
   0.99272   0.00350   0.99272   0.00254
   0.99541   0.00232   0.99541   0.00171
   0.99784   0.00115   0.99784   0.00088
   1.00000   0.00000   1.00000   0.00000
