Section 2 MH_78_1_V2			
XU	YU	XL	YL
1.10E-04	-2.11E-03	1.10E-04	-2.11E-03
1.46E-03	1.30E-02	1.46E-03	-9.35E-03
6.55E-03	2.31E-02	6.55E-03	-1.96E-02
1.43E-02	3.38E-02	1.43E-02	-2.73E-02
2.56E-02	4.48E-02	2.56E-02	-3.55E-02
4.03E-02	5.59E-02	4.03E-02	-4.38E-02
5.86E-02	6.69E-02	5.86E-02	-5.24E-02
8.02E-02	7.74E-02	8.02E-02	-6.08E-02
1.05E-01	8.65E-02	1.05E-01	-6.79E-02
1.34E-01	9.36E-02	1.34E-01	-7.38E-02
1.66E-01	9.87E-02	1.66E-01	-7.83E-02
2.02E-01	1.02E-01	2.02E-01	-8.16E-02
2.41E-01	1.04E-01	2.41E-01	-8.39E-02
2.84E-01	1.04E-01	2.84E-01	-8.54E-02
3.30E-01	1.03E-01	3.30E-01	-8.60E-02
3.78E-01	1.01E-01	3.78E-01	-8.58E-02
4.29E-01	9.74E-02	4.29E-01	-8.47E-02
4.81E-01	9.23E-02	4.81E-01	-8.25E-02
5.34E-01	8.59E-02	5.34E-01	-7.90E-02
5.88E-01	7.81E-02	5.88E-01	-7.41E-02
6.41E-01	6.90E-02	6.41E-01	-6.78E-02
6.94E-01	5.88E-02	6.94E-01	-5.98E-02
7.45E-01	4.80E-02	7.45E-01	-5.05E-02
7.93E-01	3.73E-02	7.93E-01	-4.08E-02
8.38E-01	2.73E-02	8.38E-01	-3.09E-02
8.78E-01	1.85E-02	8.78E-01	-2.16E-02
9.14E-01	1.13E-02	9.14E-01	-1.35E-02
9.44E-01	6.04E-03	9.44E-01	-7.41E-03
9.68E-01	2.76E-03	9.68E-01	-2.33E-03
9.86E-01	1.08E-03	9.86E-01	4.50E-04
9.96E-01	4.90E-04	9.96E-01	1.44E-03
1.00E+00	4.00E-04	1.00E+00	1.82E-03
