Section 4 NASA SC(2)-0410			
XU	YU	XL	YL
1.20E-04	2.64E-03	1.20E-04	2.64E-03
1.23E-03	8.53E-03	1.23E-03	-8.29E-03
3.72E-03	1.45E-02	3.72E-03	-1.43E-02
7.75E-03	2.02E-02	7.75E-03	-2.00E-02
1.34E-02	2.54E-02	1.34E-02	-2.54E-02
2.07E-02	3.03E-02	2.07E-02	-3.03E-02
2.99E-02	3.50E-02	2.99E-02	-3.49E-02
4.15E-02	3.94E-02	4.15E-02	-3.94E-02
5.62E-02	4.38E-02	5.62E-02	-4.38E-02
7.56E-02	4.82E-02	7.56E-02	-4.84E-02
1.01E-01	5.29E-02	1.01E-01	-5.31E-02
1.34E-01	5.74E-02	1.34E-01	-5.77E-02
1.73E-01	6.14E-02	1.73E-01	-6.21E-02
2.12E-01	6.46E-02	2.12E-01	-6.52E-02
2.53E-01	6.70E-02	2.53E-01	-6.76E-02
2.96E-01	6.87E-02	2.96E-01	-6.93E-02
3.39E-01	6.97E-02	3.39E-01	-7.00E-02
3.84E-01	7.02E-02	3.84E-01	-6.97E-02
4.30E-01	7.00E-02	4.30E-01	-6.85E-02
4.75E-01	6.92E-02	4.75E-01	-6.61E-02
5.61E-01	6.55E-02	5.61E-01	-5.70E-02
6.02E-01	6.26E-02	6.02E-01	-5.06E-02
6.44E-01	5.89E-02	6.44E-01	-4.27E-02
6.87E-01	5.43E-02	6.87E-01	-3.36E-02
7.31E-01	4.89E-02	7.31E-01	-2.40E-02
7.76E-01	4.28E-02	7.76E-01	-1.45E-02
8.21E-01	3.61E-02	8.21E-01	-6.02E-03
8.66E-01	2.89E-02	8.66E-01	6.03E-04
9.09E-01	2.13E-02	9.09E-01	4.03E-03
9.48E-01	1.41E-02	9.48E-01	3.77E-03
9.81E-01	7.29E-03	9.81E-01	5.86E-04
1.00E+00	3.30E-03	1.00E+00	-2.70E-03
